bevintharaj,🏴🏴🏴 #Lawan
manafisml,#Lawan #LawanTetapLawan #BenderaHitam #KerajaaanGagal #KerajaanBangsat #KerajaanBodoh #KerajaanCirit #MuhyiddinLetakJawatan #AzminAliLetakJawatan #BukaParlimen 🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴
sorayaasilah,Kibar telekung hitam pun jadi la. #Lawan 🏴  https://t.co/WygJEtYToH
bahangd,#Lawan #benderahitam  https://t.co/3vpUbQEJ1F
akuyangnaif,#lawan
hidayatuljahar,Dlm satu tamadun kemanusiaan. Ada satu masyarakat terpaling sabar dgn kerajaan mereka. Mereka tahu bahawa dgn riot dijalanan bkn jln terbaik pd detik itu. Maka ingatlah detik ini pernah jd d sejarah wahai cucu cicit ku #lawan #BenderaHitam
__wahii,🏴🏴🏴🏴 #Lawan
rozamarlianne,Dari Cyberjaya tuju ke Perdana Putra! #LawanTetapLawan #lawan  https://t.co/wQnr62vBJX
thealifsubril,🏴 #lawan
mulut_cabai,#Lawan
yeettr1,#LAWAN 🏴🏴🏴🏴🏴🏴 #muhyiddinOut #MuhyiddinLetakJawatan #muhyiddinOut #MuhyiddinLetakJawatan #muhyiddinOut #MuhyiddinLetakJawatan #muhyiddinOut #MuhyiddinLetakJawatan #muhyiddinOut #MuhyiddinLetakJawatan #muhyiddinOut #MuhyiddinLetakJawatan #muhyiddinOut #MuhyiddinLetakJawatan
tommymokja,1. Mahiaddin letak jawatan. 2. Buka parlimen. 3. Tamat darurat.  #Lawan #KerajaanGagal #KerajaanZalim #KerajaanCirit  https://t.co/Nrc46EfdmW
brutal_truth6,Rebel!!   #benderahitam #Lawan #LawanTetapLawan  https://t.co/MS3DwVrt0U
44hazim,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴 #Lawan #KerajaanBangsat #KerajaanPembunuh #KerajaanBodoh
farahleopard_,"Dp I baju hitam and tudung hitam kan, dikira #lawan jugak kan?"
shmyhh_,stand together 🏴🏴✊🏼 #BenderaHitam #Lawan
nursmusings,🏴🏴🏴🏴🏴#lawan
thegamer2x,#lawan
nurfazlinn,🏴🏴🏴 #MuhyiddinLetakJawatan #LAWAN #KerajaanGagal
oneng_one,🏴 #Lawan
_qwertyuiop9852,#Lawan #benderahitam #kerajaangagal  https://t.co/4jCHwVFvXM
farratiq,Letih dah hadap kebodohan dan kebobrokan. #lawan 🏴🏴
ntony98jo,"JULY 3, 2021  🏴🏴🏴 1. Resignation of Prime Minister Muhyiddin. 2. The convening of Parliament. 3. The ending of the Emergency Proclamation.  #Lawan  #MuhyiddinLetakJawatan  https://t.co/kAALpQwpFL"
illusonina,that's it. my 2nd dose vaccine outfit will be fully black again #lawan
onigiriii_samu,STAND TALL #Lawan
jejangs23,#lawan #benderahitam
anisfarhnah,@DlJeffry Yup #lawan 🏴
muranishi_san,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴 #Lawan
starkidshaine,"Fulfil these three demands!  1. #MuhyiddinLetakJawatan Stop hiding in the toilet and quit! 2. #BukaParlimen Parliament so shy and for what huh?? 3. #TamatDarurat 6,353 people have died, this emergency was useless, end it.   #Lawan sampai #MuhyiddinLetakJawatan  https://t.co/x4JwM1h4m4"
syafiqelnino9,#Lawan 🏴🏴🏴  https://t.co/m9Nl9O2gFI
ed4ili,🆘🆘🆘🆘🆘🏴🏴 #Lawan
musa_zafar,#Lawan LIWAT TETAP LIWAT.  https://t.co/dcVztbcg2F
scialdistance,#Lawan 🏴
adibyss,Nampak @tzafrul_aziz  live kat tv tadi terus aku tutup tv. Terus takde dah dia kat tv. #lawan #benderahitam #BlackFlag
halimahmoharii,This is for that one grandma who cried when she received aid from us. Cukup.  #Lawan 🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴  https://t.co/H77Cb0dt1l
ricorinaldi,#lawan 🏴
zmym96,Terbaik orang Bangi. #Lawan
yankewong96,"You messed with the wrong generation. Step down, Muhyiddin, or we will hold you accountable at the street! #Lawan #KerajaanPembunuh #MuhyiddinOut #BenderaHitam  https://t.co/0yGBEkBcMU"
farhanamran,"Kalau ada yang nak berhimpun, jangan buat teruk cakap pasal SOP, mengarut.  Nak bincang pasal perhimpunan dan SOP ini macam sembang pasal hisap rokok dan kanser. Oxymoron.  Pandemik adalah senjata yang digunakan #KerajaanBangsat untuk mematikan reaksi rakyat.   #LAWAN"
zie,@sharifahamani #lawan  https://t.co/qG5jXvxLnU
danishfirhan04,@cakerawala13 #lawan  https://t.co/pmJUlmX2XE
vttv_vttv_,@SyedSaddiq 🏴🏴🏴#Lawan #Lawan #Lawan
itsaaloha,#Lawan 🏴
chrspepper,"Sempena kempen #BenderaHitam and #Lawan, aku dengan kawan aku @aslamymusa ada buat cover dari @OrkesAHizadin versi kami lagu Korupsi Hati Besi. Full video kat link ni  https://t.co/B8lcShDXwg  https://t.co/rcaMnnBmfz"
yiepppppppppppp,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴 #Lawan #Benderahitam #waknat
i_am_julz,@NatAsasi #Lawan   https://t.co/S7CXZ8hD3y
yepbooba,#Lawan #KerajaanBangsat #MuhyiddinLetakJawatan
aminsykr,Antara dua:  Nyatakan #Lawan untuk tuntut perubahan  atau  terus bersikap neutral duduk diam terima sahaja nasib buruk di bawah #KerajaaanGagal
irfansyahzz,#Lawan #KerajaaanGagal #BenderaHitam  #MuhyiddinLetakJawatan  🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴
muzzashark,"Done #LAWAN ✅   Baju pun baju lah sial, #LawanTetapLawan ! 🏴  https://t.co/oexYalRhb9"
masturah_ab,#Lawan
makchic_cargas,Still remember masa ni berkobar berdemo. Still simpan lagi baju ni! #lawan
alrashidzulkefl,"ADAT BERNEGERI, NEGERI PERTAHANKAN!   #Lawan #BenderaHitam  https://t.co/7bTrH8F4l4"
nishvelss,"101k on #Lawan. We are suffering, we are dying. YDPA please hear us. Enough is enough."
mj91796231,Mari kita lawan  Lawan untuk memastikan setiap rumah yang ada bendera putih dapat diberi sumbangan yang sewajarnya  Itu bukan masa untuk berpolitik  Ini adalah masa untuk  Die die get things done for our rakyat  #LawanTetapLawan #jalanterus #WhiteFlagCampaign #Lawan  https://t.co/W7IJTQJJAw
acapmidi_,"3 July 2021.we had enough.its not about political party anymore.its about marhaen people against political crooks. you disrespect us,we will disrespect you even worse #lawan #KerajaanZalim #benderahitam"
paqmadsri,#Lawan #LawanTetapLawan
edchriz,#Lawan🏴    https://t.co/dEf1TVsox1
dljeffry,Ada yang cakap #lawan bukan berkesan pun nanti. Disebabkan pemikiran macam kau yang tak melawan lah wujudnya diktator dalam demokrasi
chillexjerrr,#Lawan #BenderaHitam 💪🤜🤛🤼‍♂🏴
nawawi_nomli,Kerajaan bangsat 🏴🏴🏴#LAWAN #BENDERAHITAM
jackorjek,#Lawan
nicnacknina,"Many have asked to show compassion to #PMCirit and said don't make fun of his bowel as he is a cancer survivor.   I guess they dont know the story about ""The Boy who cried, Wolf!""  #MuhyiddinLetakJawatan  #Lawan"
hamzijohan,Fak giler kena delete. Macam mana nak #lawan ni
amirfarhankt,#Lawan #LawanTetapLawan 🔥🔥🔥
farhanhakimi_,#Lawan #BenderaHitam #maukemanabos  https://t.co/POid1tAMzL
designpleace,Check out my Gig on Fiverr: I will draw vector black and white line art of any image or illustrations  https://t.co/XepcUbUSPE #July3RevileStrike #MUSICDAY #SahagroupXBrightWin #Lawan #BoicoteAGlobo #lineart #onelineart #illustrations #vectorart
aamirulhakim97,#lawan
always4sha,#BenderaHitam #LAWAN #MuhyiddinLetakJawatan
travisskkottt,"I would sleep with an eye open if I were you 😏 it’s not impossible,u know that right ? Kill 1 to save 100. Sounds justifiable enough. @AzminAli @amiraazmin @basheerazmin #Lawan #LawanTetapLawan #JFK #BenderaHitam #KerajaanBangsat  https://t.co/3YXECAMc2B"
aximbarrigent,"#Lawan lewat sebab tak sihat. tapi masih, kerajaan babi  https://t.co/x7KemCg754"
paksubaik,Daripada cirit.. mau termuntah² plak nanti org tu  #Lawan 🏴
nicknameesther,"@KKMPutrajaya Testing berapa? Positivity rate? Bilangan kes tak turunkan,jika banding dgn bilangan ujian? Gelombang ke-4 Covid sekarangkan? Bukan lagi gelombang ke-3? Mungkin gelombang ke-5 kan? Cakap dgn boss kamu, @DrAdhamBaba kita tahu situasi sebenar;tak payah selindung fakta.  #Lawan"
paqmadsri,#Lawan #LawanTetapLawan
nakhoda_ragam19,@kuruih_keding Jom... Kita #Lawan 🏴✊
seagull5955,#Lawan  https://t.co/TltJdHxq5b
beije17,"Today is dark day, where freedom of speech and freedom having good heart and freedom of helping people has been sealed officially. ""Only rich ""people"" can live"" #BenderaHitam #LawanTetapLawan  #Lawan #BetterTogether #doctorsrights #Humanity"
zheng513,Wow..more than 100000 mentioned #Lawan good👏👏  https://t.co/Fe1rzayyjm
imraannrazak,#Lawan 🏴🏴🏴🏴🏴  https://t.co/EaGJAtmHVB
sharifahyasmiin,"In this (cat)astrophy, we must show solidarity. #Lawan  https://t.co/EqGSAgZH0l"
aizuddin_anuar,"Bendera Malaysia--yang selalu terselit dalam latar belakang panggilan video--diselimuti kain hitam hari ini sebagai tanda #Lawan  Salam ingatan &amp; setiakawan dari rantau buat rakyat &amp; tanah air dalam pergelutan.  ""Telah kau rasa segala seperti kami..."" - Usman Awang  🏴🏴🏴  https://t.co/7lfSNNpZBy"
aaliahhr,#Lawan 🏴
myhasfallen,"Sejak lockdown ni, vandalisme pun terpaksa buat online eh 🤣🤣 tinggi betul semangat #Lawan rakyat Malaysia 🏴🏴🏴"
_izzudxn,#Lawan  https://t.co/G3KfktPoYQ
marioskyjuice,#lawan
iamgandipan,For the working class.  #Lawan 🏴  https://t.co/hMAy8zQw8d
avoidthisperson,Oh!? #benderahitam #lawan #hijack  https://t.co/HjpeZnpIJi
spenderkering,🏴🏴🏴#lawan
aiserzeneka,baju hitam aku pakai semalam dah basuh. so aku kibar bendera kt twidder jah  🏴🏴🏴  #BenderaHitam #Lawan
terence02641821,Kerajaan gagal #Lawan
shaxf20,Aku nak jumpa mak bapak laa waknatt. 🏴  #Lawan  #KerajaanGagal #MuhyiddinLetakJawatan  https://t.co/iB0FijHps9
daus_swole,#lawan  https://t.co/sMei3AXZSf
theuzackfauzi,#Lawan 🏴🏴🏴
athirahabd_,@IdayuMumtaz @iium_su Mahasiswa untuk Masyarakat. Bila nak selesai isu pulang pelajar IPT untuk cuti semester? Isu ni dah boleh dijangka 'foreseeable' tapi masih tunggu desakan pelajar juga. #LAWAN  https://t.co/gv5w1fhJ4h
musabaizaini,#Lawan #Benderahitam #KerajaanGagal  https://t.co/we0zTlEB2r
jaz_matyo,@malaysiakini THEY CANT SAMAN US ALL  #Lawan #MuhyiddinLetakJawatan #KerajaaanGagal
ibraheemhaq_,"wore all black today in conjunction with #Lawan, we don’t want you 🏴"
amirulezuar,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴 #Lawan #benderahitam
azman_zee,We reached 100k ! LOUDER MALAYSIANS! 🏴  #Lawan #BenderaHitam  https://t.co/86cPpDJCe5
furqanurfaliq,"Kalau Muhyiddin turun, siapa yang layak jadi PM untuk kita semua? Kalau laa, tapi macam tak je.  #lawan"
rameshraoaks,"Inilah Perangai Bangsat Puak 🐖🐖 #DAP!! Kalau Nak Bantu, Biar Ikhlas!!  Apa Perlu Letak Logo Roket??  #hitam #LawanTetapLawan #Lawan #KerajaaanGagal #KerajaanBangsat #KerajaanBodoh #KerajaanCirit #KerajaanZalim #kerajaansampah #KerajaanBangang  https://t.co/OdzkAzWK4y"
izzatarsat,Aku nak ambik kain hitam bini aku buat bendera hitam depan rumah...jangan kabo bini aku..🤫..mampus aku.. #Lawan #LawanTetapLawan #BenderaHitam
myhasfallen,"@Gengkotak Sejak lockdown ni, vandalisme pun terpaksa buat online eh 🤣🤣 tinggi betul semangat #Lawan rakyat Malaysia. 🏴🏴🏴"
sarahsahadincbb,I have a black hair band on my head and it's a good thing to join the movement since I feel angry at our incompetent and selfish leaders from the beginning.  #Lawan 🏴  https://t.co/yCYOVhWYgy
kaikai_ze,Awan juga seakan mengerti  🏴🏴🏴  #Lawan
gerakmalaysia,"""Beberapa netizen juga dilihat memaparkan gambar haiwan peliharaan mereka, termasuk anjing dan kucing, yang memiliki bulu berwarna hitam sebagai pengganti bendera hitam."" 🤣  Gerakan kucing hitam terus #LAWAN 🏴🏴🏴"
ezdyha,Hapuskan System bangsat ! Fuck authorities! #KerajaanBangsat #KerajaanGagal #Lawan #LawanTetapLawan #BenderaHitam  https://t.co/gHkWUrtzS5
thentirebakery,#Lawan #KerajaanGagal  https://t.co/hGNH8WmAX8
zenk11,#Lawan 101k ! 🏴
tristanharrise,#MuhyiddinLetakJawatan #Lawan
gerak98_,#Lawan #LawanTetapLawan  #KerajaanGagal  https://t.co/hEzY7PAatg
kacey_2020,"A govt that lacks transparency, which refuse to listen to the cries of her citizens, bz politicking &gt; citizens wellbeing. Sorry not sorry, you're not worthy 2b in the govt, resign to enable worthier individuals to take over 🏴🏴🏴 #Lawan #KerajaaanGagal"
logeishsri,#LawanTetapLawan #Lawan #BenderaHitam  https://t.co/MI6u8I5vny
hanzs_,🏴🏴🏴 #Lawan
wanionly,Ini lah padahnya kalau main2 jaga negara. Bukannya rakyat ni yg bodoh. Tapi menteri yg bodoh sbb nak bodoh2kan rakyat. Kau serve baik2 untuk rakyat tak boleh ke? Perlu cilok sana cilok sini eh? Haa kalau perlu ini padah dia. #allblackoutfit #benderahitam #lawan  https://t.co/67yzFTeQXb
ayie_iman,#Lawan is the beginning. Trust me. More to come. #LawanTetapLawan #KerajaanBangsat #KerajaanCirit #KerajaanPembunuh #BenderaHitam
ehsankamilradzi,"#Lawan dari KLIA!  Tiada #BenderaHitam, hanya #BlazerHitam.  https://t.co/z3D77sy6Fz"
nakhoda_ragam19,Tepat jam 17:19 3 Julai 2021  #Lawan trending dgn 100k twit
leonwales,♠️♣️◼️⚫️🖤💣🎱🌑🐈‍⬛🕶🦾 #Lawan
jonxarc,"Way to go MALAYSIAN, 100k✊🏻⚡🌪️🌪️🏴🏴🏴#Lawan  https://t.co/5dpnO7ocZI"
syazwanasyrafz,Lets do this 🏴🏴🏴🏴 #Lawan
putrinsuhayzix,#LAWAN #LawanTetapLawan  https://t.co/9PoRMOFhzJ
farhanhakimi_,#lawan #waknat  https://t.co/ZVsPal8H1n
syahirdom,🏴🏴🏴 #lawan
syahredzan,100K #lawan   24K #BenderaHitam  25K #KerajaanGagal  https://t.co/az4VyUc0e1
mohamad_azemi,For a better future.... #Benderahitam #Lawan  https://t.co/k5xKHKZaOb
aansensio,@Reuters hope you can cover this #lawan story from malaysia
waidzwonkaaa,#Lawan 🏴  https://t.co/wA9SVRIw5N
forsyo,100K #Lawan  Turut trending #BenderaHitam dan #KerajaanGagal  https://t.co/5MFvkNdjbG
muhdfahmi94,For better future!  Our 3 demands: 1. Resignation of Prime Minister @MuhyiddinYassin. 2. The convening of Parliament. 3. The ending of the Emergency Proclamation.  #Lawan 🏴 #KerajaanGagal #MuhyiddinOut #BenderaHitam  https://t.co/HkDSyUugGf
juneness,🏴🏴🏴 #BenderaHitam #Lawan #KerajaanGagal  https://t.co/gh3PjdmdrS
mhazril___,#Lawan
i_am_julz,We must not give up. We must not give in..  Hoist the colour 🏴🏴🏴!!!  #Lawan
h6nif,INI LAH LAGUNYA ! #Lawan
elliyanayusri,"lebih kelakar bila ada yg remehkan student yg ada depression sebab hadap benda ni . DEPRESS LAH BODOH bila dulu kau ada cita cita skrg kau rasa kosong , rasa sedih zaman kau tak seronok , rasa terpaksa , rasa bodoh sebab susah nak faham . #Lawan"
sugarbusan,🏴  #Lawan #BenderaHitam #MuhyiddinLetakJawatan  https://t.co/YURmwTISNL
shmiramani,"we deserve better, Malaysians deserve better #Lawan 🏴"
drsyarizan,"@malaysiakini @SyedSaddiq RAISE YOUR BLACK FLAG 🏴  #BenderaHitam #Lawan #KerajaanGagal  We, Malaysians, are requesting:  1. Resignation of Prime Minister Muhyiddin 2. The convening of Parliament 3. The ending of the Emergency Proclamation"
mytheorem,"Awal mereka takut. Kita ramai.  Ingat, sebagai pembayar cukai, kita yang bayarkan beras diorang.  #Lawan #benderahitam 🏴🏴🏴  https://t.co/oBM4prs8OE"
sarfabian,"It’s 100k, simpan receipt. #Lawan  https://t.co/Jpg85xQEwi"
nakhoda_ragam19,Teruskan lg Malaysians.... #Lawan #KerajaanGagal ini demi masa depan kita dan generasi seterusnya 🏴✊  https://t.co/voc4tkPK9X
bahangd,@beritartm @KKMPutrajaya #benderahitam #Lawan
musa_zafar,#Lawan KE LIWAT.
___dilll,#Lawan #MuhyiddinLetakJawatan #KerajaanGagal 🏴🏴🏴
syazwanasyrafz,Gov still blinding their eyes? #Lawan
ashrafnzrdn,kain hitam takda so kita improvise. #Lawan  https://t.co/1J9x7X1co4
yeettr1,#LAWAN TETAP #LAWAN 🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴  https://t.co/88Q63i251a
aruljordisonn,#LAWAN  https://t.co/5zgBZWFHEz
carameldaisies,You’ve “done your best” by getting vaccinated and not turning up for your job in Parliament while increasing numbers of people die every way. Don’t pretend that you love this country. Just resign. #BenderaHitam #lawan #KerajaanZalim
amirulruslam,"Aku dah tunaikan bahagian aku sebagai penentang kerajaan yg zalim dgn menularkan kezaliman mereka di setiap media sosial yg aku ada.  Tapi ingat, perjuangan ini belum selesai.  Ayuh teruskan lawan kezaliman. 💪🏻  #KerajaanZalim #KerajaanPembunuh #KerajaanGagal #BenderaHitam #Lawan  https://t.co/BvChvJ52aK"
faezothman,#Lawan  https://t.co/XDQX5UDJWP
izarthelmi,#Lawan #KerajaaanGagal
suresh23441255,100k!#Lawan
napiekage,#LawanTetapLawan #Lawan menteri bangsat negara.
putrasyhr,🏴 #Lawan
shaqkoyok,#lawan  #BenderaHitam  #MuhyiddinLetakJawatan #muhyiddinOut  https://t.co/0IzwgQ5fhB
aidahuh,#Lawan 🏴🏴🏴
zulfaizal95,Hadir ✅ #lawan #KerajaaanGagal  https://t.co/o4di06wXCy
riseofkentucky,Achieved 100K #Lawan!  https://t.co/hzkQGeogiG
darumathegamer,Down with the System #Lawan #KerajaanGagal  https://t.co/vZbHpqXxWY
cupofray,#Lawan 🏴
zetsubou_yoshi,"No matter how hard it is, I will not take down the black flag until achieve the three major demands of the Malaysian people！  1. Resignation of Prime Minister Muhyiddin. 2. The convening of Parliament. 3. The ending of the Emergency Proclamation.  #Lawan 🏴 #KerajaanGagal  https://t.co/ugCVdegqBU"
iambadrulamin,100k !!!!!!!!!!!!!  #Lawan
mohanagilekrish,@Samantha__chong #lawan we shall  https://t.co/rJi8Psoqdd
beije17,#BenderaHitan #Lawan for better future
psjphoon,#Lawan  https://t.co/LFzCW5SxvX
cahayaaieni,This government can go to hell #Lawan #BenderaHitam
baqirnajh,🏴🏴🏴 #Lawan  https://t.co/RR2BCZ5hzW
sarjaddin,#Lawan #KerajaanGagal 🏴🏴🏴
officialrk24,"fight sampai @MuhyiddinYassin dan kroni kroni mampus, lagi lagi yang ni @AzminAli #Lawan  https://t.co/bGCeCUKVvf"
bahangd,@mkini_bm #Lawan #benderahitam
ssyyrraaaa,"Menteri langgar SOP buka siasatan dulu, rakyat langgar SOP terus disaman :( @SyedSaddiq need to settle this sampai semua sama rata sbb sama sama manusia cuma pangkat saja yg membezakan #Lawan 🏴🏴🏴🏴🏴"
iamfeams,#Lawan  https://t.co/3rfqSLjQQq
1mannnn,"We no longer have the privilege to not be interested in politics, if not for us, its for those who are going through 10x worse than us during this pandemic #LAWAN #KerajaanGagal 🏴🏴🏴"
moonlitfeels_,"""If we burn, you burn with us.""  #Lawan #BenderaHitam  https://t.co/jy3vOjXmbG"
wunderfuull,Hujan lebat. Nak angkat bendera hitam ni berat pulak. Kibar kat lantai. #Lawan #KerajaanBangsat  https://t.co/L2vXTyKpzY
affizuan,#Lawan ??
yeettr1,@malaysiakini @SyedSaddiq ON THE WAY 100K!!!! 🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴 #LAWAN #LAWAN #LAWAN #BENDERAHITAM #BENDERAHITAM #BENDERAHITAM #MuhyiddinLetakJawatan #muhyiddinOut
mohanagilekrish,#lawan #CodeBlack  https://t.co/E9i4eNviQG
ainaaasyahirah,"I dont have black flag, but i have black face mask 🤣🏴🏴 #lawan  https://t.co/dBQQQVsytS"
naqibfuad,@amilahyazid #LAWAN
ajeloin13,Kita akan terus #Lawan  Darah dan nyawa yang terkorban ini semuanya di tangan pemimpin ! #LawanTetapLawan
ebummie,"*cue dino lawyers saying how this is unethical*   But sirs, if it's a way to fight for what is right, how can this be wrong??   #Lawan"
michellelanious,"6,353 sebab kenapa kita wajib #lawan  https://t.co/BOjJCb1ljx"
annieveeee,Keep em gorgeous pic coming! They cant fight us all! 🏴 #Lawan #BenderaHitam  https://t.co/zmWnSg5CSL
rhnarhim,#lawan
mohd_kns,I will retweet n like whoever change their dp to black #BenderaHitam #Lawan
kartunisgandum,🏴🏴🏴  #Lawan #Hitam #BenderaHitam #BlackFlags #Fight  https://t.co/JVrxe1aeIu
1mannnn,"The political climate of Malaysia has changed, the rakyat has an increased political awareness, many more are directly impacted by the government’s decisions, what they do and what they choose to not do #LAWAN"
1mannnn,"This was to allow them to meet and discuss. In making decisions, since the start of the year, no parliamentary sitting was able to convene therefore no discussion between other state rep were able to take place. #LAWAN"
1mannnn,"The benefit of the doubt was given to the current gvt for the first few months, however, we are going into 2 years under their rule now. They were first in line to receive both doses of the vaccine, even before the frontliners of the country- #LAWAN  https://t.co/AgK61iHd46"
bahangd,@mkini_bm #Lawan
akmalnasir,Tengah cari idea nak buat video tiktok   #Lawan #BenderaHitam  https://t.co/yuYWIUMgN8
aymansyahiran,@Hahahahahaikal Manjung #lawan ke tak? Kalau lawan pi kibar dekat luar rumah
haikalsuhaimii,#BenderaHitam #Lawan #LawanTetapLawan 🏴
parajamaludin,#LAWAN  https://t.co/idHw6j24NP
ahmhdrazali,#Lawan  https://t.co/4O2MVK427G
zarithfatihah,#lawan #BenderaHitam
kitsunegeisha,🏴🏴🏴🏴   #Lawan
shufitri,#Lawan 🏴  https://t.co/Ezm15iqn0I
azfaruqi95,🏴🏴🏴 #Lawan #KerajaanZalim  #KerajaaanGagal
imkacanggggg,"we fight our government because we love our country, we want this country to be a better place, mereka tidak berhak untuk mendiamkan kami kerana kami ada hak untuk bersuara, jika kamu tertangkap, ingatlah mereka yang sebenarnya melanggar hak bersuara dalam perlembagaan #Lawan 🏴"
